Date,INFY.NS
2015-03-03,445.8825378417969
2015-03-04,441.3807067871094
2015-03-05,436.1318664550781
2015-03-09,424.96466064453125
2015-03-10,426.5072326660156
2015-03-11,423.4414367675781
2015-03-12,430.4464416503906
2015-03-13,430.8537902832031
2015-03-16,439.828369140625
2015-03-17,434.754150390625
2015-03-18,432.6197204589844
2015-03-19,432.8039245605469
2015-03-20,438.0431823730469
2015-03-23,433.3860778808594
2015-03-24,429.11712646484375
2015-03-25,430.6015930175781
2015-03-26,416.4850158691406
2015-03-27,427.31256103515625
2015-03-30,432.32855224609375
2015-03-31,430.4560852050781
2015-04-01,421.8404846191406
2015-04-06,422.665283203125
2015-04-07,419.0365905761719
2015-04-08,427.00213623046875
2015-04-09,429.80609130859375
2015-04-10,433.483154296875
2015-04-13,434.4241943359375
2015-04-15,429.5536804199219
2015-04-16,425.85723876953125
2015-04-17,422.86895751953125
2015-04-20,413.7295227050781
2015-04-21,415.7572937011719
2015-04-22,414.806396484375
2015-04-23,411.75994873046875
2015-04-24,387.1552734375
2015-04-27,385.1080627441406
2015-04-28,380.4996032714844
2015-04-29,380.5481262207031
2015-04-30,376.88067626953125
2015-05-04,386.747802734375
2015-05-05,380.85858154296875
2015-05-06,372.96099853515625
2015-05-07,377.2202453613281
2015-05-08,379.9271545410156
2015-05-11,386.85455322265625
2015-05-12,377.82183837890625
2015-05-13,379.6846008300781
2015-05-14,375.4350891113281
2015-05-15,380.66455078125
2015-05-18,386.7381591796875
2015-05-19,392.4235534667969
2015-05-20,397.2649230957031
2015-05-21,397.48809814453125
2015-05-22,397.10003662109375
2015-05-25,391.3465881347656
2015-05-26,389.5032653808594
2015-05-27,381.97430419921875
2015-05-28,391.30780029296875
2015-05-29,392.57879638671875
2015-06-01,397.3619689941406
2015-06-02,389.7652282714844
2015-06-03,392.1421813964844
2015-06-04,393.52960205078125
2015-06-05,390.3472595214844
2015-06-08,388.096435546875
2015-06-09,386.5538024902344
2015-06-10,393.22882080078125
2015-06-11,387.63067626953125
2015-06-12,383.245361328125
2015-06-15,390.20880126953125
2015-06-16,393.7151184082031
2015-06-17,392.27716064453125
2015-06-18,394.7394104003906
2015-06-19,392.13922119140625
2015-06-22,403.36737060546875
2015-06-23,394.1288146972656
2015-06-24,392.040771484375
2015-06-25,390.20880126953125
2015-06-26,396.03948974609375
2015-06-29,390.090576171875
2015-06-30,387.80548095703125
2015-07-01,392.9468994140625
2015-07-02,389.2434387207031
2015-07-03,390.149658203125
2015-07-06,387.3918762207031
2015-07-07,386.2887268066406
2015-07-08,377.2274475097656
2015-07-09,369.54498291015625
2015-07-10,369.3480224609375
2015-07-13,374.331787109375
2015-07-14,382.64447021484375
2015-07-15,387.6675720214844
2015-07-16,389.6571960449219
2015-07-17,394.7000427246094
2015-07-20,394.463623046875
2015-07-21,438.35205078125
2015-07-22,434.6092834472656
2015-07-23,432.58038330078125
2015-07-24,428.4831237792969
2015-07-27,419.697509765625
2015-07-28,418.7322082519531
2015-07-29,427.6163635253906
2015-07-30,421.5491943359375
2015-07-31,424.32672119140625
2015-08-03,425.0751647949219
2015-08-04,416.5260925292969
2015-08-05,427.99053955078125
2015-08-06,428.2268981933594
2015-08-07,431.63482666015625
2015-08-10,427.8526611328125
2015-08-11,436.97320556640625
2015-08-12,450.86065673828125
2015-08-13,456.2185974121094
2015-08-14,452.7713623046875
2015-08-17,449.9742736816406
2015-08-18,458.7203674316406
2015-08-19,463.13287353515625
2015-08-20,446.9800109863281
2015-08-21,453.027587890625
2015-08-24,430.2362976074219
2015-08-25,427.7148132324219
2015-08-26,419.4217224121094
2015-08-27,426.592041015625
2015-08-28,437.72174072265625
2015-08-31,431.16204833984375
2015-09-01,429.0346374511719
2015-09-02,433.15155029296875
2015-09-03,433.1122131347656
2015-09-04,423.10528564453125
2015-09-07,417.11700439453125
2015-09-08,417.1367492675781
2015-09-09,428.9163513183594
2015-09-10,425.6661376953125
2015-09-11,429.7239990234375
2015-09-14,433.2697448730469
2015-09-15,433.0531005859375
2015-09-16,434.0183410644531
2015-09-18,435.1214599609375
2015-09-21,435.2003173828125
2015-09-22,436.3033142089844
2015-09-23,439.77032470703125
2015-09-24,449.34375
2015-09-28,435.55487060546875
2015-09-29,441.9765625
2015-09-30,457.7748718261719
2015-10-01,462.14794921875
2015-10-05,465.575439453125
2015-10-06,454.8791198730469
2015-10-07,446.4481201171875
2015-10-08,446.034423828125
2015-10-09,459.92193603515625
2015-10-12,442.3902282714844
2015-10-13,433.1318359375
2015-10-14,432.4228820800781
2015-10-15,432.32427978515625
2015-10-16,435.3260498046875
2015-10-19,442.10504150390625
2015-10-20,447.67132568359375
2015-10-21,452.6215515136719
2015-10-23,457.19390869140625
2015-10-26,458.0883483886719
2015-10-27,456.9950866699219
2015-10-28,458.5058288574219
2015-10-29,455.26544189453125
2015-10-30,451.4484558105469
2015-11-02,449.7587585449219
2015-11-03,455.44439697265625
2015-11-04,451.9853515625
2015-11-05,446.458740234375
2015-11-06,452.5816955566406
2015-11-09,451.110595703125
2015-11-10,438.88458251953125
2015-11-13,437.671875
2015-11-16,429.4814147949219
2015-11-17,422.0464172363281
2015-11-18,405.54632568359375
2015-11-19,416.5993957519531
2015-11-20,418.4283447265625
2015-11-23,418.9451599121094
2015-11-24,413.9554443359375
2015-11-26,418.4283447265625
2015-11-27,423.97479248046875
2015-11-30,432.5429992675781
2015-12-01,429.00445556640625
2015-12-02,421.728271484375
2015-12-03,420.5555725097656
2015-12-04,417.096435546875
2015-12-07,415.9831848144531
2015-12-08,415.2475891113281
2015-12-09,408.8065185546875
2015-12-10,416.42047119140625
2015-12-11,418.58734130859375
2015-12-14,425.22723388671875
2015-12-15,428.42779541015625
2015-12-16,435.7038269042969
2015-12-17,440.1767883300781
2015-12-18,430.6544189453125
2015-12-21,438.7254638671875
2015-12-22,430.89288330078125
2015-12-23,437.6917419433594
2015-12-24,435.9026184082031
2015-12-28,439.2424011230469
2015-12-29,439.2225341796875
2015-12-30,431.9068298339844
2015-12-31,439.5007629394531
2016-01-01,439.4411926269531
2016-01-04,428.964599609375
2016-01-05,427.0362548828125
2016-01-06,425.16748046875
2016-01-07,417.79217529296875
2016-01-08,422.7621154785156
2016-01-11,419.7403259277344
2016-01-12,417.45428466796875
2016-01-13,430.7537536621094
2016-01-14,450.47442626953125
2016-01-15,453.2179260253906
2016-01-18,450.0370788574219
2016-01-19,453.118408203125
2016-01-20,445.8027648925781
2016-01-21,452.084716796875
2016-01-22,451.7666320800781
2016-01-25,452.32330322265625
2016-01-27,452.6611633300781
2016-01-28,449.1226501464844
2016-01-29,463.15777587890625
2016-02-01,466.5174560546875
2016-02-02,467.3921203613281
2016-02-03,460.29498291015625
2016-02-04,469.0620422363281
2016-02-05,467.05401611328125
2016-02-08,457.5516662597656
2016-02-09,440.39544677734375
2016-02-10,440.7532958984375
2016-02-11,428.86517333984375
2016-02-12,431.250732421875
2016-02-15,434.0736389160156
2016-02-16,429.06396484375
2016-02-17,436.4989929199219
2016-02-18,446.6574401855469
2016-02-19,448.18829345703125
2016-02-22,447.9497375488281
2016-02-23,446.8562927246094
2016-02-24,447.4328308105469
2016-02-25,441.4490051269531
2016-02-26,445.7628479003906
2016-02-29,431.0121154785156
2016-03-01,447.4726257324219
2016-03-02,459.6192321777344
2016-03-03,464.90716552734375
2016-03-04,465.44390869140625
2016-03-08,462.5811767578125
2016-03-09,468.5649719238281
2016-03-10,454.2516174316406
2016-03-11,454.450439453125
2016-03-14,453.7347106933594
2016-03-15,451.0311279296875
2016-03-16,458.2075500488281
2016-03-17,461.9052734375
2016-03-18,474.4891357421875
2016-03-21,475.08551025390625
2016-03-22,473.11749267578125
2016-03-23,480.2145080566406
2016-03-28,479.06158447265625
2016-03-29,476.0198974609375
2016-03-30,479.4788513183594
2016-03-31,484.3892822265625
2016-04-01,479.2801513671875
2016-04-04,494.488037109375
2016-04-05,484.985595703125
2016-04-06,477.3916320800781
2016-04-07,469.7578125
2016-04-08,463.4956970214844
2016-04-11,470.7119445800781
2016-04-12,470.0359802246094
2016-04-13,466.2588806152344
2016-04-18,492.50018310546875
2016-04-20,494.4483337402344
2016-04-21,487.57000732421875
2016-04-22,481.58624267578125
2016-04-25,483.4150695800781
2016-04-26,489.8959045410156
2016-04-27,493.0766296386719
2016-04-28,480.7513122558594
2016-04-29,480.3337097167969
2016-05-02,477.5307312011719
2016-05-03,468.28668212890625
2016-05-04,472.6800537109375
2016-05-05,474.1114196777344
2016-05-06,469.7578125
2016-05-09,476.7357482910156
2016-05-10,482.2024841308594
2016-05-11,477.8487854003906
2016-05-12,481.0892028808594
2016-05-13,479.99578857421875
2016-05-16,483.0771179199219
2016-05-17,482.779052734375
2016-05-18,481.0295104980469
2016-05-19,479.3994445800781
2016-05-20,477.7494201660156
2016-05-23,472.3421325683594
2016-05-24,472.2427978515625
2016-05-25,480.5523986816406
2016-05-26,490.6910400390625
2016-05-27,495.9990234375
2016-05-30,503.9906921386719
2016-05-31,496.4561767578125
2016-06-01,500.2532653808594
2016-06-02,501.585205078125
2016-06-03,503.7122802734375
2016-06-06,503.65264892578125
2016-06-07,499.9351806640625
2016-06-08,492.2615966796875
2016-06-09,476.8362731933594
2016-06-10,474.8654479980469
2016-06-13,474.9861755371094
2016-06-14,472.6129455566406
2016-06-15,478.6261291503906
2016-06-16,477.03753662109375
2016-06-17,474.42291259765625
2016-06-20,486.18817138671875
2016-06-21,485.1220703125
2016-06-22,482.4674072265625
2016-06-23,487.33441162109375
2016-06-24,480.4765319824219
2016-06-27,469.07330322265625
2016-06-28,466.23779296875
2016-06-29,473.3572082519531
2016-06-30,470.9236755371094
2016-07-01,471.5672912597656
2016-07-04,476.2129211425781
2016-07-05,472.7939758300781
2016-07-07,465.4735107421875
2016-07-08,465.8555908203125
2016-07-11,472.6331787109375
2016-07-12,473.2364807128906
2016-07-13,480.17486572265625
2016-07-14,473.1158142089844
2016-07-15,431.4052429199219
2016-07-18,435.18597412109375
2016-07-19,437.1971740722656
2016-07-20,435.64874267578125
2016-07-21,434.3615417480469
2016-07-22,431.36492919921875
2016-07-25,434.7436828613281
2016-07-26,437.90106201171875
2016-07-27,436.55364990234375
2016-07-28,433.3961486816406
2016-07-29,431.92803955078125
2016-08-01,436.5133972167969
2016-08-02,435.93017578125
2016-08-03,436.3726806640625
2016-08-04,431.1035461425781
2016-08-05,429.5750732421875
2016-08-08,433.8788146972656
2016-08-09,435.7693786621094
2016-08-10,435.346923828125
2016-08-11,433.3358154296875
2016-08-12,427.38287353515625
2016-08-16,423.0590515136719
2016-08-17,415.617919921875
2016-08-18,411.6358642578125
2016-08-19,410.7911682128906
2016-08-22,408.4381408691406
2016-08-23,418.17205810546875
2016-08-24,425.31146240234375
2016-08-25,416.7642517089844
2016-08-26,410.3688659667969
2016-08-29,411.39453125
2016-08-30,418.4736328125
2016-08-31,416.64349365234375
2016-09-01,417.3273620605469
2016-09-02,415.03460693359375
2016-09-06,420.32391357421875
2016-09-07,424.0846862792969
2016-09-08,417.3675842285156
2016-09-09,416.5027770996094
2016-09-12,423.94390869140625
2016-09-14,420.56524658203125
2016-09-15,419.19769287109375
2016-09-16,426.4176025390625
2016-09-19,426.8398742675781
2016-09-20,422.3953552246094
2016-09-21,424.6478271484375
2016-09-22,425.87457275390625
2016-09-23,419.33843994140625
2016-09-26,416.66363525390625
2016-09-27,418.2121887207031
2016-09-28,417.89044189453125
2016-09-29,413.96875
2016-09-30,416.72406005859375
2016-10-03,417.5485534667969
2016-10-04,422.01318359375
2016-10-05,418.9161376953125
2016-10-06,413.2448425292969
2016-10-07,407.27178955078125
2016-10-10,414.2703857421875
2016-10-13,423.28021240234375
2016-10-14,413.1442565917969
2016-10-17,411.2335510253906
2016-10-18,417.9306640625
2016-10-19,419.0367736816406
2016-10-20,416.96539306640625
2016-10-21,422.1080017089844
2016-10-24,417.5548095703125
2016-10-25,413.5300598144531
2016-10-26,412.3104248046875
2016-10-27,407.96051025390625
2016-10-28,405.52130126953125
2016-11-01,402.2486877441406
2016-11-02,398.833740234375
2016-11-03,393.0609436035156
2016-11-04,394.7480773925781
2016-11-07,397.573486328125
2016-11-08,399.4638671875
2016-11-09,389.5849914550781
2016-11-10,381.90142822265625
2016-11-11,374.644775390625
2016-11-15,375.4578552246094
2016-11-16,382.5112609863281
2016-11-17,377.99871826171875
2016-11-18,374.0146179199219
2016-11-21,370.39642333984375
2016-11-22,371.65667724609375
2016-11-23,374.1162414550781
2016-11-24,378.20196533203125
2016-11-25,397.3905029296875
2016-11-28,398.3052673339844
2016-11-29,395.39849853515625
